Latitude,Longitude,Instrument,UTC date,UTC time,Sun elevation,Sun azimuth,Sirius elevation,Rigel elevation,Betelgeuse elevation,Procyon elevation,Capella elevation,Arcturus elevation,Spica elevation,Vega elevation,Deneb elevation,Antares elevation,Altair elevation,Aldebaran elevation,Local sidereal time,Local apparent solar time,Local mean time,Moon elevation,Moon right ascension,Moon phase,Venus elevation,Venus right ascension,Venus phase,Mars elevation,Mars right ascension,Jupiter elevation,Jupiter right ascension,Saturn elevation,Saturn right ascension
39,-77,05/31/19,09/07/19,01:03,,,,,,,,26,,78,72,15,57,,19:05,20:02,20:02,23,17:25,Wax50,,,,,,21,17:02,27,18:50
39,-77,08/28/19,09/07/19,01:03,,,,,,,,21,,85,72,19,58,,18:45,19:40,19:40,22,17:05,Wax50,,,,,,18,15:55,26,18:50
39,-77,05/31/19,09/07/19,18:14,54,210,,,,,,,,,,,,,12:07,13:10,13:08,,,,,,,,,,,,
39,-77,08/28/19,09/07/19,18:14,53,210,,,,,,,,,,,,,12:20,13:20,13:18,,,,,,,,,,,,
39,-77,05/31/19,09/08/19,00:45,,,,,,,,27,,90,64,16,55,,19:00,19:50,19:48,24,17:20,Wax55,,,,,,21,16:45,27,18:35
39,-77,08/28/19,09/08/19,00:45,,,,,,,,24,,90,68,16,54,,18:40,19:35,19:33,24,17:20,Wax55,,,,,,22,16:30,24,17:20
39,-77,05/31/19,09/08/19,12:55,24,105,,,,,,,,,,,,,07:20,08:05,08:02,,,,,,,,,,,,
39,-77,08/28/19,09/08/19,12:55,24,100,,,,,,,,,,,,,06:50,07:40,07:37,,,,,,,,,,,,
39,-77,05/31/19,09/10/19,02:33,,,,,,,,,,63,82,,57,,20:55,21:40,21:37,27,19:45,Wax60,,,,,,,,24,19:05
39,-77,08/28/19,09/10/19,02:33,,,,,,,,,,65,82,,57,,20:25,21:15,21:12,25,20:00,Wax60,,,,,,,,20,19:00
39,-77,05/31/19,09/16/19,11:35,8,95,,,,,,,,,,,,,06:10,06:30,06:25,,,,,,,,,,,,
39,-77,08/28/19,09/16/19,11:35,8,95,,,,,,,,,,,,,06:20,06:40,06:35,,,,,,,,,,,,
39,-77,05/31/19,09/17/19,00:38,,,,,,,,,,82,,,58,,19:15,19:35,19:40,,,,,,,,,21,16:55,27,18:35
39,-77,08/28/19,09/17/19,00:38,,,,,,,,,,83,,,56,,19:05,19:30,19:35,,,,,,,,,17,16:05,25,17:50
